Word,Number of Syllables
ganja,2
ganjaran,2
ganjil,2
ganti,2
gantian,3
gantung,2
gantungan,3
ganyang,2
gap,1
gapah,2
gapai,2
gar,1
gara,2
garam,2
garang,2
garap,2
garapan,3
garau,2
gari,2
garis,2
garisan,3
garu,2
gasak,2
gasing,2
gatal,2
gaul,2
gaung,2
gawang,2
gawat,2
gaya,2
gebeng,2
gebu,2
gede,2
gedung,2
gegak,2
gegar,2
gegaran,3
gejala,3
gelabah,3
gelagat,3
gelak,2
gelang,2
gelanggang,3
gelap,2
gelar,2
gelaran,3
gelek,2
geleman,3
gelengan,3
gelenggang,3
geli,2
gelisah,3
gelombang,3
gelora,3
gelung,2
gema,2
gemalai,3
gemar,2
gembala,3
gembar,2
gembar-gembur,4
gembira,3
gembur,2
gementar,3
gemerlapan,4
gemilang,3
gempa,2
gempal,2
gempar,2
gempita,3
gempur,2
gemuk,2
gemuruh,3
genap,2
gencatan,3
gendang,2
genderang,3
gendut,2
genggam,2
genggaman,3
genit,2
gentar,2
gentian,3
genting,2
gerabak,3
gerai,2
gerak,2
gerakan,3
gerak-gerinya,5
geram,2
gerbang,2
gereja,3
gergasi,3
gerhana,3
geri,2
gerik,3
gerimis,3
gertakan,3
gerun,2
gesa,2
gesaan,3
gesekan,3
geseran,3
getah,2
getaran,3
getir,2
ghaib,2
ghairah,2
ghazal,2
ghulam,2
gi,1
gian,2
giang,2
giat,2
gigi,2
gigih,2
gigit,2
gigitan,3
gila,2
gilang,2
gilang-gemilang,5
gilap,2
giliran,3
ginjal,2
girang,2
gita,2
golek,2
golongan,3
